Fold,acc,precision,recall,f1,auc,thr,choose_by
1,0.8828382838283828,0.6025641025641025,0.562874251497006,0.5820433436532508,0.880772426438988,0.5640273704789834,fβ2.0_floor0.6
2,0.8853135313531353,0.6022727272727273,0.5955056179775281,0.5988700564971752,0.8700122791385043,0.43206256109481916,fβ2.0_floor0.6
3,0.8952145214521452,0.6217616580310881,0.631578947368421,0.6266318537859007,0.8859486043876814,0.2932551319648094,fβ2.0_floor0.6
