,acc,precision,recall,f1,auc
mean,0.86001100110011,0.5277581011907344,0.5850019877387903,0.5541732482466671,0.7939354355832889
std,0.006192700907149456,0.020214407096926144,0.03957195147601947,0.018141199125977336,0.022147541808599187
