,acc,precision,recall,f1,auc
mean,0.96535375,0.9805233706912766,0.9493220925210452,0.9646555195774849,0.9888502990866431
std,0.0068295662809535135,0.005053995024555581,0.011285812464806947,0.007832827024912666,0.0028228257607918195
