Fold,acc,precision,recall,f1,auc,thr
1,0.97065,0.9855542046351888,0.9568828608459137,0.9710069305447052,0.9913928402841622,0.3108213245868683
2,0.970865625,0.984505792647645,0.9568118767338982,0.9704613000647655,0.9900557805565621,0.3231487572193146
3,0.964390625,0.9821382072488747,0.949001353893342,0.9652854787518685,0.9881070795640069,0.2952510416507721
4,0.96670625,0.9761882566021655,0.9539494660949122,0.9649407446532141,0.9904210785664604,0.36836835741996765
5,0.95415625,0.9742303923225087,0.9299649050371593,0.951583143872871,0.9842747164620239,0.23943212628364563
