,acc,precision,recall,f1,auc
mean,0.8877887788778877,0.6088661626226393,0.5966529389476517,0.6025150846454422,0.8789111033217246
std,0.00654888938382325,0.011168776847179753,0.03436671453241163,0.022516626781416423,0.008129576152668372
